ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"45.128.135.255","elite","AS206804","NL","EstNOC OY","14","ESTNOC-GLOBAL","1080","socks4","4907","1","2025-11-08T01:08:31.698Z","99","4188","4211"
"172.67.85.150","elite","AS13335","CA","Cloudflare, Inc.","4","Cloudflare, Inc.","80","http","2199","17693","2025-11-08T01:08:31.695Z","100","35","35"
"104.16.7.217","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","8080","socks4","4204","1","2025-11-08T01:08:31.698Z","100","1305","1305"
"138.219.50.170","elite","AS273309","BR","UNI TELECOM LTDA","289","UNI TELECOM LTDA","4145","socks4","4185","1","2025-11-08T01:08:31.699Z","98","10709","10956"
"104.18.45.13","elite","AS13335","US","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","4007","17977","2025-11-08T01:08:31.679Z","100","35","35"
"46.253.143.144","elite","AS43581","RU","ZTV CORP LLC","49","ZTV CORP LLC","1080","socks4","2916","1","2025-11-08T01:08:31.701Z","98","4029","4101"
"45.85.119.241","elite","AS209242","GB","Cloudflare London, LLC","62","LIR Services","80","http","4907","17699","2025-11-08T01:08:31.688Z","100","73","73"
"110.77.135.70","elite","AS131090","TH","CAT Telecom Public Company Limited","188","CAT BB","4145","socks4","4917","1","2025-11-08T01:08:31.763Z","99","1607","1624"
"104.21.38.9","elite","AS13335","US","Cloudflare, Inc.","4","Cloudflare, Inc.","80","http","3795","17984","2025-11-08T01:08:31.671Z","100","35","35"
"27.123.1.33","elite","AS139938","ID","PT Tele Globe Global","275","N/A","4153","socks4","2679","1","2025-11-08T01:08:31.697Z","99","10808","10869"
"103.227.97.15","elite","AS24309","IN","Atria Convergence Technologies Pvt Ltd","143","Broadband india","3127","socks5","3392","1","2025-11-08T01:08:31.765Z","99","3957","4010"
